latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
52.72500,-2.17500,BirminghamUK,1,0.00220,563.00000,0.00520,401.00000,0.01520,505.00000,0.10280,628.00000,-9.55500,0.35200,-9.75500,0.44500,-10.03500,0.34500,-9.99600,0.36500,-9.59000,0.28000,-9.59500,0.23900,-9.37100,0.53100,-9.32900,0.31000,-11.08800,0.62100,-11.04800,0.35900,-11.05100,0.28900,-11.00300,0.32200,-11.11400,0.30000,-10.82500,0.27600,-11.00800,0.26400,-10.99500,0.31800,-10.99700,0.37600,-10.83700,0.43000,-10.92900,0.40500,-9.78100,0.45000,-9.63500,0.49600,-9.83000,0.43500,-9.86800,0.39300,-10.20100,0.33500,-9.51400,0.48400,-9.76000,0.36300,-9.77100,0.38900,-9.82800,0.35700,-9.65000,0.33900,-9.38500,0.41500,-9.80500,0.50100,-9.31600,0.54800,-9.59400,0.39200,0,0.00480,4.72310,0.25620,18796214,16.25000,6.58000
52.72500,-2.12500,BirminghamUK,1,0.05040,8580.00000,0.06060,8283.00000,0.06580,8062.00000,0.10220,8182.00000,-9.53100,0.35600,-9.76600,0.43600,-10.00900,0.31200,-9.95100,0.40100,-9.52700,0.30300,-9.53400,0.21900,-9.31800,0.56400,-9.26500,0.31800,-11.05800,0.60700,-11.02600,0.38200,-11.00100,0.26600,-10.95300,0.30400,-11.08600,0.29600,-10.75700,0.30200,-10.94300,0.27300,-10.91100,0.31500,-10.82900,0.38200,-10.69300,0.44200,-10.76200,0.39100,-9.78500,0.41400,-9.61200,0.49500,-9.76000,0.41200,-9.86700,0.37900,-10.17400,0.33800,-9.49100,0.45700,-9.73300,0.30700,-9.71400,0.38900,-9.77300,0.31600,-9.58500,0.30200,-9.36200,0.41000,-9.77600,0.46800,-9.31500,0.50200,-9.57700,0.37600,0,0.01300,6.41190,0.83420,18796214,16.51000,6.39000
52.72500,-2.07500,BirminghamUK,1,0.06050,1447.00000,0.07390,1240.00000,0.07890,1256.00000,0.10100,1441.00000,-9.44700,0.35700,-9.66500,0.42700,-9.90300,0.31000,-9.84900,0.40200,-9.42900,0.30200,-9.43900,0.22100,-9.21200,0.56600,-9.16600,0.31400,-11.10600,0.59100,-11.09300,0.41800,-11.02700,0.25600,-10.98300,0.30100,-11.13300,0.30200,-10.77600,0.32900,-10.96200,0.28100,-10.92300,0.32200,-10.75800,0.39400,-10.64200,0.43900,-10.67500,0.39400,-9.64200,0.40100,-9.46700,0.50200,-9.52700,0.39900,-9.67900,0.39800,-9.88400,0.33900,-9.30800,0.44500,-9.52600,0.28700,-9.50600,0.38300,-9.58000,0.28400,-9.37600,0.28700,-9.14700,0.40600,-9.57800,0.43500,-9.10200,0.47000,-9.37000,0.35200,0,0.00490,5.49750,0.32350,18796214,21.83000,7.16000
52.72500,-2.02500,BirminghamUK,2,0.16260,27395.00000,0.17670,27270.00000,0.18090,27589.00000,0.20510,29211.00000,-9.36200,0.35700,-9.56300,0.41900,-9.79600,0.30900,-9.74800,0.40300,-9.33100,0.30200,-9.34300,0.22200,-9.10500,0.56900,-9.06600,0.31100,-11.02200,0.59500,-11.00700,0.42300,-10.94100,0.26000,-10.89500,0.30700,-11.04700,0.30300,-10.69100,0.33700,-10.86400,0.29100,-10.82800,0.32500,-10.65900,0.39200,-10.54400,0.44000,-10.57400,0.39600,-9.53800,0.39000,-9.36300,0.49600,-9.41500,0.40300,-9.56300,0.39600,-9.74100,0.33900,-9.19700,0.45900,-9.39800,0.28700,-9.39100,0.37000,-9.45100,0.28900,-9.25400,0.29500,-9.01000,0.41200,-9.43600,0.43100,-8.96200,0.47400,-9.22500,0.35500,0,0.03000,5.21610,2.04250,18796214,29.05000,8.03000
52.72500,-1.97500,BirminghamUK,2,0.13740,11458.00000,0.15060,11387.00000,0.15410,11576.00000,0.17210,12548.00000,-9.40900,0.37600,-9.64000,0.44500,-9.88200,0.31900,-9.82900,0.41500,-9.38900,0.31900,-9.40900,0.21000,-9.18800,0.55800,-9.15300,0.29200,-11.11100,0.56900,-11.11400,0.46600,-11.01200,0.29000,-10.98700,0.30400,-11.14500,0.30700,-10.76100,0.36600,-10.93000,0.30500,-10.89100,0.32100,-10.66800,0.40600,-10.57400,0.42600,-10.59000,0.41700,-9.32900,0.37300,-9.14500,0.45500,-9.23300,0.44300,-9.30300,0.39700,-9.47300,0.35300,-8.97900,0.41100,-9.16100,0.28700,-9.23300,0.35300,-9.29900,0.28000,-9.08100,0.28900,-8.80200,0.36700,-9.28300,0.51600,-8.80200,0.44800,-9.05000,0.34600,0,0.01690,4.95250,1.13870,18796214,34.42000,8.50000
52.72500,-1.92500,BirminghamUK,1,0.08820,9896.00000,0.09800,9768.00000,0.10080,9995.00000,0.11870,10535.00000,-9.32100,0.38000,-9.53600,0.43600,-9.77400,0.32000,-9.72500,0.41400,-9.28900,0.31400,-9.31200,0.21300,-9.07800,0.56200,-9.05000,0.28600,-11.22600,0.52200,-11.24400,0.48800,-11.14200,0.29700,-11.12200,0.30300,-11.27700,0.31900,-10.87100,0.38600,-11.04900,0.32600,-11.01500,0.31700,-10.77500,0.39700,-10.67200,0.42700,-10.68500,0.42200,-9.25300,0.40600,-9.06800,0.46000,-9.16200,0.46500,-9.21600,0.39900,-9.45600,0.38100,-8.91000,0.40600,-9.09600,0.30100,-9.18300,0.34100,-9.30600,0.32100,-9.08400,0.32000,-8.70800,0.34700,-9.26100,0.55800,-8.76300,0.46300,-9.00700,0.39100,0,0.01450,5.06560,0.95480,18796214,26.49000,7.72000
52.72500,-1.87500,BirminghamUK,1,0.06290,4994.00000,0.08200,5435.00000,0.08730,5669.00000,0.10730,6210.00000,-9.31700,0.38900,-9.53900,0.43800,-9.77700,0.32500,-9.73000,0.41200,-9.29300,0.31500,-9.31700,0.21300,-9.08200,0.56000,-9.05600,0.28700,-11.14700,0.52200,-11.16400,0.49000,-11.06300,0.30000,-11.04400,0.30800,-11.19800,0.32000,-10.79100,0.39100,-10.96300,0.33400,-10.92800,0.32000,-10.69000,0.39300,-10.57900,0.42900,-10.59300,0.42100,-9.21200,0.41300,-9.02100,0.46100,-9.12600,0.48300,-9.18400,0.40000,-9.40800,0.38200,-8.87000,0.40800,-9.06900,0.29800,-9.14900,0.34500,-9.26000,0.31800,-9.02700,0.31100,-8.68000,0.35300,-9.22100,0.56400,-8.73700,0.46200,-8.95200,0.38500,0,0.00930,5.06290,0.57050,18796214,19.29000,6.91000
52.72500,-1.82500,BirminghamUK,1,0.03230,2262.00000,0.04720,2292.00000,0.05460,2366.00000,0.08590,2654.00000,-9.44400,0.47300,-9.75900,0.47800,-10.01100,0.37400,-9.97100,0.39700,-9.51700,0.33200,-9.55200,0.21200,-9.33800,0.53400,-9.29800,0.30400,-11.34100,0.48700,-11.38500,0.51200,-11.29700,0.30800,-11.30200,0.32300,-11.44900,0.34200,-11.00200,0.40600,-11.20200,0.33000,-11.18000,0.31400,-10.92300,0.38600,-10.83800,0.41900,-10.82900,0.43900,-9.32500,0.45100,-9.15100,0.47500,-9.28400,0.45900,-9.32600,0.40700,-9.61200,0.37300,-8.99100,0.41100,-9.20100,0.32200,-9.30400,0.34900,-9.45700,0.31300,-9.22200,0.34200,-8.83000,0.37500,-9.40400,0.56600,-8.89600,0.46600,-9.16700,0.43800,0,0.00680,5.74350,0.40380,18796214,15.19000,6.31000
52.72500,-1.77500,BirminghamUK,1,0.03470,3474.00000,0.05220,3596.00000,0.07390,3776.00000,0.10920,4172.00000,-9.37200,0.48900,-9.67900,0.47300,-9.93100,0.37800,-9.89800,0.39300,-9.45400,0.32300,-9.48200,0.21300,-9.26300,0.53000,-9.22600,0.30500,-11.48200,0.47800,-11.52800,0.52500,-11.47900,0.29800,-11.49400,0.32900,-11.62300,0.34900,-11.17900,0.39800,-11.36400,0.33500,-11.36700,0.32300,-11.08500,0.37000,-11.00700,0.41000,-11.03300,0.43900,-9.45000,0.52100,-9.26000,0.48800,-9.47300,0.48700,-9.51700,0.43800,-9.86400,0.34300,-9.12300,0.41800,-9.38200,0.36000,-9.50700,0.37400,-9.67900,0.29400,-9.41800,0.35700,-9.06100,0.44700,-9.63300,0.55700,-9.16700,0.49400,-9.39900,0.48400,0,0.01320,5.85230,0.84030,18796214,14.40000,5.98000
52.72500,-1.72500,BirminghamUK,1,0.04270,2437.00000,0.05440,2553.00000,0.06420,2663.00000,0.10100,2986.00000,-9.35200,0.53800,-9.69700,0.47600,-9.95500,0.41200,-9.93800,0.37100,-9.50900,0.32400,-9.51500,0.21700,-9.30200,0.50400,-9.27700,0.30700,-11.45900,0.48300,-11.50800,0.52500,-11.46100,0.30700,-11.48900,0.33200,-11.60500,0.34800,-11.16300,0.39800,-11.33900,0.34000,-11.34800,0.32300,-11.05700,0.37000,-10.98100,0.40700,-11.02200,0.44000,-9.44300,0.52900,-9.25200,0.48700,-9.47600,0.48800,-9.51400,0.44500,-9.87100,0.34600,-9.12200,0.42000,-9.38100,0.36200,-9.50900,0.37700,-9.67600,0.29600,-9.42200,0.35500,-9.05900,0.44800,-9.63700,0.54900,-9.17000,0.49200,-9.39100,0.48900,0,0.00730,5.11270,0.43160,18796214,14.35000,6.18000
52.72500,-1.67500,BirminghamUK,1,0.00850,660.00000,0.01230,611.00000,0.01750,784.00000,0.03590,1083.00000,-9.36100,0.58400,-9.75700,0.47800,-10.02400,0.45500,-10.02700,0.34600,-9.61200,0.32900,-9.59300,0.21900,-9.38900,0.47600,-9.37500,0.31100,-11.58500,0.49600,-11.63300,0.51900,-11.59200,0.31400,-11.66400,0.33900,-11.75100,0.35000,-11.29900,0.39700,-11.47800,0.33200,-11.49200,0.32800,-11.19000,0.37000,-11.12500,0.39200,-11.19500,0.45000,-9.47200,0.51700,-9.29100,0.48300,-9.50500,0.48900,-9.55200,0.44800,-9.91100,0.34200,-9.15400,0.42100,-9.42000,0.36100,-9.54600,0.37400,-9.70600,0.29500,-9.47500,0.34100,-9.09100,0.44600,-9.70100,0.55400,-9.22500,0.49100,-9.44100,0.47800,0,0.00440,4.56430,0.23840,18796214,15.03000,6.52000
52.67500,-2.17500,BirminghamUK,1,0.04090,3072.00000,0.05270,2887.00000,0.06550,2865.00000,0.10010,2860.00000,-9.25800,0.34100,-9.39400,0.41900,-9.65700,0.33200,-9.63600,0.37600,-9.23700,0.28500,-9.25800,0.24100,-8.99600,0.52500,-8.98800,0.28800,-10.61500,0.64500,-10.54900,0.36200,-10.54800,0.27500,-10.50700,0.33300,-10.63700,0.29300,-10.32500,0.31200,-10.46700,0.28700,-10.44600,0.33000,-10.43700,0.37600,-10.26500,0.45700,-10.33300,0.43100,-9.40600,0.42600,-9.17100,0.50500,-9.40200,0.45500,-9.47500,0.41500,-9.88200,0.34500,-9.11400,0.51600,-9.32300,0.35000,-9.34000,0.38900,-9.38200,0.33500,-9.23100,0.37300,-8.92900,0.44000,-9.37200,0.48500,-8.94500,0.57700,-9.15100,0.46500,0,0.00710,4.90550,0.45910,18817544,16.90000,6.88000
52.67500,-2.12500,BirminghamUK,1,0.06860,4304.00000,0.09360,4088.00000,0.10710,3987.00000,0.14100,4038.00000,-9.18600,0.34600,-9.32200,0.40800,-9.56800,0.32000,-9.54300,0.38900,-9.14200,0.29200,-9.16300,0.23600,-8.89600,0.54200,-8.88700,0.29000,-10.46500,0.64800,-10.39400,0.37300,-10.37900,0.27100,-10.33800,0.33200,-10.47500,0.29100,-10.15100,0.33200,-10.29000,0.29400,-10.25300,0.33400,-10.21500,0.37900,-10.04500,0.45900,-10.11300,0.43400,-9.15200,0.39600,-8.91000,0.50800,-9.12500,0.45400,-9.21300,0.42400,-9.56600,0.33600,-8.82900,0.52000,-9.03000,0.34200,-9.03200,0.38300,-9.05900,0.33500,-8.91500,0.37100,-8.62100,0.43900,-9.04100,0.46500,-8.63600,0.57700,-8.82300,0.45800,0,0.01570,7.30790,1.27240,18817544,17.14000,6.64000
52.67500,-2.07500,BirminghamUK,1,0.16900,3512.00000,0.19370,3383.00000,0.19870,3377.00000,0.22190,3520.00000,-9.17800,0.35800,-9.34200,0.40000,-9.56400,0.30600,-9.52700,0.40600,-9.11700,0.30200,-9.13500,0.22600,-8.87200,0.57400,-8.85000,0.30200,-10.42000,0.63400,-10.36200,0.40100,-10.31800,0.26800,-10.26700,0.32600,-10.41200,0.29200,-10.07400,0.35100,-10.22100,0.30500,-10.16700,0.33500,-10.05800,0.38000,-9.90900,0.45500,-9.97300,0.41700,-8.96700,0.36300,-8.77800,0.51300,-8.95200,0.44700,-9.06600,0.41000,-9.30500,0.31600,-8.65600,0.51600,-8.84200,0.34300,-8.81700,0.38600,-8.82600,0.33900,-8.68300,0.34800,-8.39300,0.42200,-8.76400,0.44700,-8.38200,0.58200,-8.57700,0.43700,0,0.01190,7.00730,0.86750,18817544,16.52000,6.16000
52.67500,-2.02500,BirminghamUK,3,0.37640,42739.00000,0.42750,41626.00000,0.43800,41767.00000,0.46850,43624.00000,-9.17800,0.35800,-9.34200,0.40000,-9.56400,0.30600,-9.52700,0.40600,-9.11700,0.30200,-9.13500,0.22600,-8.87200,0.57400,-8.85000,0.30200,-10.45300,0.60000,-10.41500,0.44100,-10.33600,0.27400,-10.28500,0.31700,-10.44600,0.29800,-10.07900,0.37000,-10.21000,0.33100,-10.17200,0.32900,-10.00000,0.37700,-9.85600,0.44600,-9.89000,0.41200,-8.75200,0.38900,-8.62600,0.50600,-8.72900,0.43800,-8.86000,0.42800,-8.91600,0.32400,-8.48100,0.44700,-8.67200,0.31300,-8.62900,0.35500,-8.63300,0.32600,-8.45500,0.28100,-8.18200,0.40200,-8.64600,0.51300,-8.19800,0.49800,-8.36300,0.38500,0,0.07270,8.21320,6.15770,18817544,17.59000,6.32000
52.67500,-1.97500,BirminghamUK,2,0.28180,18860.00000,0.32180,18968.00000,0.33750,19313.00000,0.36930,20811.00000,-9.20500,0.37700,-9.38700,0.42700,-9.62200,0.31800,-9.58500,0.40700,-9.16200,0.30600,-9.18100,0.21700,-8.93300,0.56200,-8.90900,0.28700,-10.43300,0.57500,-10.39600,0.45300,-10.30500,0.28600,-10.26300,0.31700,-10.41200,0.30100,-10.04000,0.38600,-10.16300,0.35200,-10.12800,0.32300,-9.92700,0.37800,-9.78100,0.44500,-9.82600,0.40700,-8.71800,0.40700,-8.56700,0.50100,-8.70000,0.48300,-8.79100,0.44300,-8.93000,0.35500,-8.45600,0.41900,-8.64800,0.30300,-8.64300,0.35100,-8.65400,0.32300,-8.49300,0.27400,-8.21600,0.38200,-8.66800,0.53900,-8.24800,0.48800,-8.40500,0.38600,0,0.02690,6.82110,2.18300,18817544,19.77000,7.05000
52.67500,-1.92500,BirminghamUK,2,0.32460,28630.00000,0.34570,29554.00000,0.35480,30561.00000,0.37540,33740.00000,-9.16500,0.39200,-9.34300,0.43400,-9.58100,0.32400,-9.55000,0.40400,-9.12800,0.30200,-9.14500,0.21500,-8.90000,0.55500,-8.87700,0.28100,-10.42300,0.55600,-10.38400,0.46000,-10.28700,0.29200,-10.25100,0.31500,-10.39200,0.30000,-10.01700,0.39100,-10.13600,0.36600,-10.10300,0.31800,-9.88200,0.38000,-9.73600,0.44600,-9.78800,0.39600,-8.77700,0.41000,-8.60500,0.48900,-8.74700,0.50400,-8.83400,0.44900,-8.98400,0.36600,-8.51100,0.41600,-8.68600,0.29700,-8.71700,0.33900,-8.71900,0.32100,-8.56100,0.27000,-8.28000,0.38200,-8.73600,0.55200,-8.32300,0.49100,-8.46500,0.38200,0,0.04020,7.43400,2.88500,18817544,16.32000,6.40000
52.67500,-1.87500,BirminghamUK,1,0.07550,2770.00000,0.08250,2916.00000,0.08620,2994.00000,0.09490,3376.00000,-9.09400,0.39700,-9.25500,0.43400,-9.49300,0.32600,-9.47100,0.40000,-9.05500,0.29600,-9.06900,0.21600,-8.82000,0.55000,-8.79800,0.27800,-10.64800,0.51400,-10.65300,0.48800,-10.55900,0.30100,-10.53400,0.31300,-10.66500,0.29900,-10.26400,0.39900,-10.41300,0.36800,-10.36800,0.32100,-10.12800,0.37400,-9.99200,0.43600,-10.01800,0.40700,-9.01600,0.42800,-8.81000,0.47000,-8.97300,0.53800,-9.01500,0.41600,-9.24400,0.39800,-8.72200,0.41500,-8.90200,0.29500,-9.00700,0.35800,-9.03000,0.31600,-8.84400,0.28700,-8.55700,0.37200,-9.04800,0.57200,-8.60900,0.47100,-8.75900,0.37700,0,0.00780,5.90130,0.48410,18817544,15.11000,6.06000
52.67500,-1.82500,BirminghamUK,2,0.40140,28936.00000,0.43220,29783.00000,0.43470,30962.00000,0.44030,34041.00000,-9.14400,0.54000,-9.42500,0.45800,-9.67900,0.39000,-9.66400,0.38000,-9.25100,0.29600,-9.26100,0.21700,-9.02500,0.51800,-8.99800,0.30600,-10.87800,0.49400,-10.91000,0.49900,-10.84400,0.32000,-10.82600,0.32000,-10.95400,0.32000,-10.53000,0.40000,-10.68200,0.36000,-10.66000,0.31500,-10.39800,0.36100,-10.27200,0.42800,-10.31500,0.42900,-9.10400,0.45300,-8.87900,0.48000,-9.05700,0.52500,-9.09200,0.41400,-9.36300,0.40700,-8.78600,0.41600,-9.00000,0.30000,-9.09900,0.37000,-9.16600,0.34900,-8.96500,0.32800,-8.60900,0.36900,-9.16200,0.56300,-8.69400,0.46800,-8.88200,0.42300,0,0.03900,7.38190,2.80740,18817544,15.65000,6.06000
52.67500,-1.77500,BirminghamUK,1,0.04660,3209.00000,0.06120,3382.00000,0.06310,3543.00000,0.06930,3991.00000,-9.06900,0.55700,-9.34000,0.45300,-9.59600,0.39400,-9.58700,0.37600,-9.18400,0.28600,-9.18800,0.21800,-8.94600,0.51400,-8.92200,0.30600,-10.79000,0.49700,-10.82300,0.49600,-10.76300,0.32400,-10.74400,0.31900,-10.85800,0.31500,-10.43900,0.39700,-10.58000,0.36200,-10.56200,0.31200,-10.29700,0.35500,-10.16000,0.42900,-10.22200,0.42400,-9.07200,0.45600,-8.83100,0.47600,-9.03400,0.54000,-9.05700,0.41600,-9.33700,0.41100,-8.75400,0.41900,-8.96800,0.29200,-9.08000,0.37700,-9.12500,0.35400,-8.92900,0.32000,-8.58100,0.37600,-9.13400,0.55800,-8.67000,0.47300,-8.85500,0.42000,0,0.01180,6.37000,0.74090,18817544,14.56000,5.93000
52.67500,-1.72500,BirminghamUK,1,0.03160,1146.00000,0.04290,1260.00000,0.05120,1307.00000,0.08140,1478.00000,-9.06400,0.55800,-9.33500,0.45300,-9.59100,0.39500,-9.58200,0.37600,-9.18000,0.28600,-9.18300,0.21800,-8.94200,0.51400,-8.91700,0.30600,-11.10500,0.49900,-11.15200,0.51400,-11.10300,0.31500,-11.12100,0.32600,-11.20800,0.33100,-10.79100,0.39400,-10.92900,0.35500,-10.95200,0.30900,-10.65100,0.36600,-10.54100,0.42400,-10.62400,0.43200,-9.31600,0.55000,-9.11300,0.49700,-9.41600,0.48900,-9.38800,0.48500,-9.81400,0.38500,-9.02600,0.42300,-9.30500,0.37900,-9.42300,0.41100,-9.49900,0.35600,-9.31500,0.38300,-8.95100,0.47100,-9.56200,0.53100,-9.07800,0.47600,-9.27700,0.48400,0,0.00550,4.73370,0.32920,18817544,13.06000,5.74000
52.67500,-1.67500,BirminghamUK,1,0.03150,1286.00000,0.03420,1200.00000,0.03520,1253.00000,0.03950,1436.00000,-9.22800,0.59000,-9.60700,0.46200,-9.88000,0.46800,-9.89300,0.34000,-9.49600,0.31100,-9.46900,0.21700,-9.25300,0.47600,-9.23800,0.31500,-11.33800,0.50600,-11.41200,0.50700,-11.35900,0.32600,-11.42700,0.33500,-11.48700,0.34200,-11.03700,0.39200,-11.21500,0.33000,-11.23800,0.32500,-10.91200,0.36000,-10.84600,0.42200,-10.94500,0.43700,-9.51800,0.52200,-9.34500,0.48500,-9.58400,0.47700,-9.59800,0.48000,-9.98800,0.37400,-9.23800,0.41000,-9.50300,0.35600,-9.62200,0.37700,-9.73700,0.30800,-9.53500,0.34000,-9.16400,0.44200,-9.79800,0.52800,-9.26400,0.48600,-9.49300,0.46100,0,0.00400,3.49800,0.25270,18817544,11.99000,5.63000
52.62500,-2.17500,BirminghamUK,2,0.26490,27288.00000,0.29110,26791.00000,0.30420,26679.00000,0.32290,28180.00000,-9.11500,0.33300,-9.20400,0.41800,-9.47200,0.32700,-9.46400,0.38000,-9.07300,0.28700,-9.09200,0.24300,-8.81800,0.51900,-8.81900,0.27900,-10.18000,0.66600,-10.11300,0.37000,-10.09800,0.28800,-10.07300,0.34400,-10.21200,0.28900,-9.88700,0.35000,-10.00800,0.29000,-10.00500,0.35000,-10.01800,0.38500,-9.80900,0.46000,-9.92700,0.46000,-8.57200,0.48600,-8.26500,0.56300,-8.51100,0.49000,-8.48600,0.55500,-8.72700,0.46700,-8.14800,0.48400,-8.33700,0.36700,-8.35400,0.44900,-8.45600,0.44600,-8.29200,0.43900,-8.02900,0.47200,-8.48500,0.52100,-8.20700,0.58300,-8.19700,0.48000,0,0.03240,7.03500,2.42880,18838860,19.03000,6.84000
52.62500,-2.12500,BirminghamUK,3,0.46100,46272.00000,0.54230,46143.00000,0.56210,46750.00000,0.59190,49865.00000,-9.06000,0.32700,-9.12100,0.42600,-9.40000,0.32600,-9.39900,0.38000,-9.01300,0.28800,-9.02600,0.24300,-8.75000,0.51500,-8.75300,0.27700,-9.96700,0.65100,-9.85200,0.37600,-9.83000,0.27200,-9.80000,0.33400,-9.93000,0.28100,-9.60600,0.36300,-9.72700,0.30400,-9.67200,0.32800,-9.62400,0.38800,-9.42100,0.46200,-9.52800,0.45100,-7.80800,0.37600,-7.63700,0.52500,-7.78400,0.40600,-7.83300,0.47900,-7.98800,0.34100,-7.46600,0.45100,-7.68700,0.32600,-7.62800,0.31300,-7.65400,0.32600,-7.49200,0.35000,-7.23300,0.38600,-7.66400,0.40000,-7.27000,0.51700,-7.42000,0.35300,0,0.07860,8.28640,7.06100,18838860,16.06000,6.00000
52.62500,-2.07500,BirminghamUK,2,0.26910,42138.00000,0.30290,41801.00000,0.30800,42213.00000,0.32360,44788.00000,-8.98800,0.34200,-9.07700,0.41500,-9.31700,0.30600,-9.30700,0.39400,-8.91400,0.29700,-8.92100,0.22800,-8.64300,0.57200,-8.62200,0.29300,-9.87500,0.61500,-9.76900,0.41200,-9.73200,0.26500,-9.67300,0.32900,-9.80800,0.27900,-9.47200,0.38200,-9.59200,0.33600,-9.52400,0.31900,-9.39500,0.37800,-9.22400,0.45700,-9.31400,0.41600,-7.52200,0.37500,-7.42600,0.52900,-7.53900,0.39100,-7.61300,0.45400,-7.74400,0.34500,-7.27000,0.41400,-7.48500,0.31300,-7.40300,0.31100,-7.43000,0.30500,-7.26300,0.32800,-6.98400,0.36700,-7.43700,0.44600,-7.04900,0.50600,-7.20400,0.35100,0,0.04820,6.63990,3.48460,18838860,16.01000,6.09000
52.62500,-2.02500,BirminghamUK,2,0.39570,44639.00000,0.43130,44439.00000,0.43770,45188.00000,0.46040,48381.00000,-8.92400,0.33600,-8.98800,0.42000,-9.23400,0.30700,-9.23300,0.39000,-8.84600,0.29500,-8.85000,0.22900,-8.56700,0.57100,-8.54500,0.29000,-9.72500,0.60800,-9.60300,0.41300,-9.57200,0.26600,-9.50800,0.32900,-9.63600,0.27700,-9.30400,0.38900,-9.41700,0.33700,-9.35000,0.30900,-9.21400,0.37200,-9.03300,0.45600,-9.13300,0.41200,-7.08100,0.37200,-7.00000,0.52300,-7.10100,0.37700,-7.15700,0.45200,-7.30200,0.35000,-6.85000,0.37700,-7.07900,0.28700,-6.98000,0.30100,-7.01800,0.29100,-6.87000,0.32400,-6.57000,0.35200,-7.05100,0.45000,-6.66000,0.48700,-6.80200,0.34400,0,0.04960,7.53410,3.67210,18838860,16.83000,6.28000
52.62500,-1.97500,BirminghamUK,3,0.40970,43854.00000,0.43000,44259.00000,0.43470,45214.00000,0.44430,48905.00000,-8.86000,0.33100,-8.89900,0.42500,-9.15000,0.30700,-9.15900,0.38700,-8.77700,0.29300,-8.77800,0.22900,-8.49000,0.57100,-8.46900,0.28700,-9.69800,0.56600,-9.60200,0.42900,-9.54600,0.27400,-9.49200,0.31400,-9.59000,0.28300,-9.26500,0.39900,-9.35500,0.35300,-9.29200,0.30600,-9.11800,0.34600,-8.92800,0.45400,-9.02800,0.38400,-7.62600,0.40400,-7.55900,0.58800,-7.66000,0.41900,-7.72800,0.50300,-7.94700,0.34700,-7.39200,0.37600,-7.69700,0.29200,-7.51000,0.38300,-7.57900,0.32300,-7.44300,0.29700,-7.18600,0.36400,-7.60000,0.50600,-7.20900,0.45700,-7.41500,0.40200,0,0.05030,7.24220,3.12960,18838860,17.37000,6.28000
52.62500,-1.92500,BirminghamUK,3,0.34900,31325.00000,0.36370,31591.00000,0.37110,32294.00000,0.39500,34555.00000,-8.94700,0.40900,-9.07200,0.43300,-9.31200,0.33100,-9.30700,0.39000,-8.90500,0.28400,-8.91200,0.21900,-8.65500,0.54100,-8.63500,0.27300,-9.89800,0.53900,-9.81900,0.44600,-9.75600,0.28100,-9.70700,0.30400,-9.80800,0.28400,-9.45700,0.38300,-9.56000,0.37000,-9.50400,0.29600,-9.29100,0.36100,-9.11200,0.45000,-9.19200,0.37000,-8.23700,0.40800,-8.14400,0.57200,-8.26100,0.45800,-8.35300,0.49700,-8.51000,0.33100,-7.99600,0.39300,-8.28200,0.29700,-8.12000,0.40300,-8.17400,0.33900,-8.02800,0.28500,-7.76300,0.38500,-8.20900,0.55200,-7.77600,0.46200,-7.98100,0.42700,0,0.05610,8.16690,4.80960,18838860,15.27000,6.04000
