latitude,longitude,cityname,ghsl_2015_smod,ghsl_bf_1975,ghsl_pop_1975,ghsl_bf_1990,ghsl_pop_1990,ghsl_bf_2000,ghsl_pop_2000,ghsl_bf_2015,ghsl_pop_2015,ERS1993_JAS_mean,ERS1993_JAS_std,ERS1994_JAS_mean,ERS1994_JAS_std,ERS1995_JAS_mean,ERS1995_JAS_std,ERS1996_JAS_mean,ERS1996_JAS_std,ERS1997_JAS_mean,ERS1997_JAS_std,ERS1998_JAS_mean,ERS1998_JAS_std,ERS1999_JAS_mean,ERS1999_JAS_std,ERS2000_JAS_mean,ERS2000_JAS_std,QSCAT1999_JAS_mean,QSCAT1999_JAS_std,QSCAT2000_JAS_mean,QSCAT2000_JAS_std,QSCAT2001_JAS_mean,QSCAT2001_JAS_std,QSCAT2002_JAS_mean,QSCAT2002_JAS_std,QSCAT2003_JAS_mean,QSCAT2003_JAS_std,QSCAT2004_JAS_mean,QSCAT2004_JAS_std,QSCAT2005_JAS_mean,QSCAT2005_JAS_std,QSCAT2006_JAS_mean,QSCAT2006_JAS_std,QSCAT2007_JAS_mean,QSCAT2007_JAS_std,QSCAT2008_JAS_mean,QSCAT2008_JAS_std,QSCAT2009_JAS_mean,QSCAT2009_JAS_std,ASCAT2007_JAS_mean,ASCAT2007_JAS_std,ASCAT2008_JAS_mean,ASCAT2008_JAS_std,ASCAT2009_JAS_mean,ASCAT2009_JAS_std,ASCAT2010_JAS_mean,ASCAT2010_JAS_std,ASCAT2011_JAS_mean,ASCAT2011_JAS_std,ASCAT2012_JAS_mean,ASCAT2012_JAS_std,ASCAT2013_JAS_mean,ASCAT2013_JAS_std,ASCAT2014_JAS_mean,ASCAT2014_JAS_std,ASCAT2015_JAS_mean,ASCAT2015_JAS_std,ASCAT2016_JAS_mean,ASCAT2016_JAS_std,ASCAT2017_JAS_mean,ASCAT2017_JAS_std,ASCAT2018_JAS_mean,ASCAT2018_JAS_std,ASCAT2019_JAS_mean,ASCAT2019_JAS_std,ASCAT2020_JAS_mean,ASCAT2020_JAS_std,Water,density,height,volume,area,gfcc_2015,gfcc_2015_uncertainty
22.62500,114.07500,Shenzhen,3,0.02710,95580.00000,0.44340,128291.00000,0.48660,191777.00000,0.54330,359779.00000,-7.93900,0.45400,-7.25600,0.14400,-7.62000,0.48400,-7.44000,0.61400,-6.58900,0.43800,-7.07100,0.41300,-6.55100,0.29600,-6.80200,0.35200,-7.41200,0.56400,-7.07700,0.74800,-6.49100,0.83900,-6.34100,0.58100,-6.16300,0.69700,-5.80300,0.55500,-5.38500,0.70700,-5.34600,0.63400,-5.31100,0.71100,-5.07500,0.65700,-4.86500,0.59900,-4.39800,0.61900,-4.08200,0.68400,-3.86600,0.64400,-3.57100,0.53900,-3.74800,0.65000,-3.56100,0.64700,-2.97800,0.69100,-3.08400,0.61200,-3.03100,0.52000,-2.62100,0.62600,-2.30800,0.53100,-1.86500,0.58300,-1.68600,0.51000,-1.66300,0.46100,0,0.16120,17.22210,30.20670,28460854,12.50000,5.23000
22.62500,114.12500,Shenzhen,3,0.02360,83654.00000,0.42580,229271.00000,0.45540,351059.00000,0.50740,600497.00000,-7.86900,0.44600,-7.18600,0.14300,-7.57200,0.50100,-7.39100,0.64600,-6.55300,0.42800,-7.04800,0.41300,-6.53100,0.31200,-6.77500,0.36400,-7.53900,0.57600,-7.21900,0.74800,-6.65600,0.80000,-6.52400,0.57600,-6.27100,0.70800,-5.93500,0.53300,-5.52400,0.71300,-5.51600,0.63500,-5.41800,0.73800,-5.26000,0.65100,-5.05600,0.63200,-4.48200,0.61500,-4.17400,0.63700,-3.94300,0.64100,-3.76400,0.53100,-3.95300,0.58600,-3.71200,0.67900,-3.16500,0.65200,-3.29000,0.54400,-3.24000,0.52400,-2.85000,0.60100,-2.56800,0.57000,-2.15700,0.61600,-2.10300,0.53600,-2.11100,0.55800,0,0.17810,19.73650,37.80210,28460854,10.14000,4.90000
22.62500,114.17500,Shenzhen,3,0.00940,58138.00000,0.28230,73207.00000,0.29990,109012.00000,0.33160,199141.00000,-7.85400,0.42700,-7.19300,0.13300,-7.56000,0.50600,-7.47700,0.75300,-6.66800,0.41000,-7.17400,0.40900,-6.67300,0.33800,-6.89900,0.38600,-7.88300,0.57000,-7.58100,0.71900,-7.04000,0.77800,-6.92400,0.59700,-6.58500,0.70600,-6.26500,0.51900,-5.83800,0.71200,-5.84000,0.63100,-5.68900,0.75000,-5.57400,0.65200,-5.40200,0.66400,-4.65600,0.65100,-4.39200,0.60000,-4.10500,0.64300,-4.11500,0.55200,-4.26800,0.59000,-3.96500,0.65300,-3.47200,0.66100,-3.69400,0.54800,-3.64200,0.56000,-3.31800,0.60700,-3.02100,0.56600,-2.60500,0.68600,-2.69200,0.61500,-2.80300,0.54200,0,0.11100,15.01460,21.77830,28460854,23.52000,7.53000
22.62500,114.22500,Shenzhen,2,0.00390,15200.00000,0.18000,33971.00000,0.20810,50600.00000,0.24480,85645.00000,-7.98500,0.42300,-7.33400,0.13800,-7.66800,0.49800,-7.67700,0.80800,-6.86000,0.40500,-7.37300,0.41700,-6.85700,0.32300,-7.09000,0.38600,-8.45800,0.56300,-8.14500,0.67100,-7.63800,0.75100,-7.52000,0.62400,-7.10800,0.70400,-6.80400,0.54100,-6.33700,0.69500,-6.34500,0.64300,-6.14700,0.76600,-6.07100,0.64700,-5.91000,0.69100,-4.89900,0.63800,-4.68800,0.60300,-4.45200,0.62300,-4.47600,0.52200,-4.60600,0.55700,-4.29400,0.60900,-3.82600,0.63800,-4.10100,0.51900,-4.16200,0.56800,-3.83900,0.54200,-3.52500,0.65000,-3.24100,0.71500,-3.28200,0.66300,-3.43800,0.54800,0,0.08480,13.83460,18.22070,28460854,39.42000,8.01000
22.62500,114.27500,Shenzhen,1,0.00190,69.00000,0.05170,1618.00000,0.06420,3288.00000,0.08520,8862.00000,-8.23500,0.41600,-7.60400,0.14800,-7.87400,0.48500,-8.06000,0.91300,-7.22900,0.39700,-7.75500,0.43200,-7.21000,0.29600,-7.45400,0.38600,-9.16000,0.53100,-8.84300,0.62200,-8.38300,0.72800,-8.27000,0.63200,-7.81600,0.68700,-7.51400,0.56000,-6.99600,0.66100,-6.99100,0.64600,-6.76800,0.77700,-6.70900,0.62300,-6.55800,0.69400,-5.51700,0.59000,-5.30200,0.61400,-5.09600,0.56000,-5.15700,0.47600,-5.16400,0.55400,-4.87900,0.59400,-4.41000,0.61700,-4.80300,0.48400,-4.78700,0.51400,-4.46100,0.49200,-4.17400,0.63300,-3.93900,0.73800,-3.96700,0.65000,-4.00400,0.58600,0,0.01470,5.63940,2.32110,28460854,50.54000,8.53000
22.62500,114.32500,Shenzhen,1,0.00270,2428.00000,0.03120,8787.00000,0.04970,14319.00000,0.06750,26378.00000,-8.61600,0.43200,-8.04800,0.20900,-8.21900,0.47500,-8.56200,0.94900,-7.73000,0.40000,-8.25600,0.45300,-7.70800,0.26200,-7.99200,0.39300,-9.97300,0.46900,-9.66100,0.56700,-9.27100,0.66300,-9.16800,0.61800,-8.72500,0.64700,-8.41300,0.57700,-7.86100,0.62300,-7.82500,0.61700,-7.59600,0.76500,-7.53500,0.60400,-7.38700,0.67000,-6.53800,0.54100,-6.20500,0.58800,-6.00500,0.53200,-6.16000,0.53600,-6.07700,0.60600,-5.77600,0.60000,-5.38300,0.69300,-5.71700,0.51700,-5.67800,0.56600,-5.38700,0.51300,-5.17900,0.68800,-4.95800,0.80200,-5.02800,0.66800,-4.95900,0.58300,20,0.01100,2.65950,1.65710,28460854,49.41000,9.17000
22.62500,114.37500,Shenzhen,1,0.00160,5437.00000,0.03160,5770.00000,0.04750,8307.00000,0.06190,13966.00000,-8.92500,0.44600,-8.40700,0.25800,-8.49800,0.46700,-8.96900,0.97900,-8.13600,0.40300,-8.66200,0.46900,-8.11100,0.23500,-8.42800,0.39800,-10.71300,0.41600,-10.42100,0.49700,-10.09200,0.62900,-10.00100,0.57900,-9.59600,0.59700,-9.29100,0.59500,-8.74700,0.58300,-8.67100,0.57300,-8.47900,0.74900,-8.38800,0.60100,-8.25900,0.62700,-7.41900,0.57600,-7.12400,0.53400,-6.97100,0.58900,-7.18000,0.60800,-7.03400,0.62900,-6.74700,0.59100,-6.54600,0.76600,-6.70500,0.50600,-6.76100,0.62900,-6.49100,0.49700,-6.37300,0.72900,-6.15300,0.88100,-6.35900,0.63800,-6.22900,0.59100,61,0.01540,3.15290,3.09250,28460854,38.07000,7.96000
22.57500,113.87500,Shenzhen,3,0.02470,91506.00000,0.42070,247675.00000,0.59690,394119.00000,0.64460,661192.00000,-9.20200,0.53800,-8.75700,0.23800,-8.75300,0.34100,-8.91100,0.67200,-7.98600,0.55700,-8.31500,0.41700,-7.78600,0.23200,-8.09000,0.31900,-10.18300,0.68800,-9.80100,0.88100,-8.95700,0.92500,-8.84800,0.76500,-8.60400,0.71300,-8.00700,0.78800,-7.35700,0.80600,-7.15300,0.79700,-7.10200,0.67900,-6.51200,0.63200,-6.22100,0.63600,-5.93700,0.61200,-5.34400,0.80100,-5.01800,0.72400,-4.70100,0.59300,-4.70600,0.71700,-4.58000,0.66500,-3.94400,0.60400,-3.97000,0.55200,-3.94800,0.51800,-3.41000,0.63000,-2.86400,0.56200,-2.49200,0.70100,-2.44300,0.48300,-2.12000,0.49700,2,0.22760,25.71970,59.42580,28470958,7.76000,3.95000
22.57500,113.92500,Shenzhen,3,0.01770,48719.00000,0.40000,145246.00000,0.51510,214686.00000,0.54500,361127.00000,-8.88800,0.53500,-8.34800,0.17700,-8.43000,0.32700,-8.48300,0.60800,-7.58800,0.54400,-7.95500,0.41000,-7.43900,0.22300,-7.72600,0.29800,-8.95900,0.62400,-8.58200,0.83300,-7.80900,0.91600,-7.70800,0.73500,-7.47300,0.66800,-6.96800,0.70200,-6.39900,0.72600,-6.22100,0.68600,-6.18900,0.63800,-5.74200,0.58700,-5.52000,0.59500,-5.00600,0.59400,-4.49000,0.64200,-4.26200,0.65300,-3.94700,0.55300,-4.03700,0.66700,-3.88800,0.58400,-3.31500,0.60100,-3.32700,0.50000,-3.25100,0.51000,-2.81300,0.59400,-2.39300,0.48100,-1.90700,0.55400,-1.85300,0.40800,-1.62200,0.41000,0,0.16560,22.75920,42.33390,28470958,10.99000,5.05000
22.57500,113.97500,Shenzhen,3,0.01090,47484.00000,0.20660,96332.00000,0.27830,145521.00000,0.30530,249049.00000,-8.42500,0.50600,-7.82100,0.14600,-7.99100,0.37800,-7.97000,0.59700,-7.09100,0.49900,-7.49900,0.38900,-6.99900,0.23200,-7.27400,0.29700,-7.98600,0.56400,-7.63600,0.77500,-6.96600,0.87400,-6.86900,0.66800,-6.66600,0.63900,-6.25100,0.64200,-5.75600,0.67200,-5.61600,0.61400,-5.61900,0.61600,-5.27200,0.57200,-5.06000,0.55300,-4.64300,0.62100,-4.17900,0.64200,-3.95600,0.64900,-3.60600,0.53800,-3.73900,0.64700,-3.61400,0.57100,-2.98600,0.60700,-3.03300,0.50800,-2.93000,0.48300,-2.48300,0.54500,-2.10100,0.43900,-1.62000,0.49900,-1.49100,0.40700,-1.36400,0.38300,0,0.11830,19.86800,30.27890,28470958,23.84000,7.17000
22.57500,114.02500,Shenzhen,3,0.01350,36212.00000,0.18110,80027.00000,0.20260,125237.00000,0.21600,221251.00000,-8.21900,0.49300,-7.58800,0.13300,-7.79700,0.40200,-7.74400,0.59600,-6.87300,0.47900,-7.29900,0.38000,-6.80700,0.23700,-7.07600,0.29800,-7.38000,0.53900,-7.05100,0.71000,-6.46500,0.81900,-6.37300,0.59000,-6.19200,0.61700,-5.85100,0.57400,-5.40100,0.65900,-5.29800,0.58100,-5.31100,0.60000,-5.04100,0.56600,-4.83400,0.53300,-4.39100,0.60100,-3.97200,0.65100,-3.75500,0.61300,-3.44000,0.51000,-3.59800,0.64000,-3.43900,0.58300,-2.82200,0.60800,-2.90400,0.53000,-2.79800,0.46000,-2.37300,0.55100,-2.02200,0.44200,-1.56300,0.50500,-1.41800,0.43300,-1.36000,0.40600,0,0.09790,18.09370,27.34790,28470958,30.70000,8.17000
22.57500,114.07500,Shenzhen,3,0.05180,47864.00000,0.45400,154344.00000,0.46070,236408.00000,0.47220,419495.00000,-7.82100,0.45700,-7.18500,0.13500,-7.45200,0.46800,-7.36400,0.66700,-6.52800,0.44400,-6.99900,0.36400,-6.51900,0.26800,-6.77500,0.31600,-7.15600,0.50200,-6.81100,0.67500,-6.30500,0.78300,-6.20300,0.53700,-6.01800,0.63100,-5.70600,0.50700,-5.30600,0.65300,-5.24700,0.56800,-5.24000,0.61500,-5.02900,0.57000,-4.84300,0.53700,-4.29200,0.59100,-3.91500,0.64900,-3.70300,0.59500,-3.43700,0.51000,-3.60600,0.63800,-3.42200,0.60800,-2.84100,0.62900,-2.95000,0.57700,-2.86800,0.48600,-2.46300,0.58500,-2.15200,0.49600,-1.71000,0.55400,-1.54600,0.48100,-1.53100,0.43700,0,0.11290,21.04470,31.92550,28470958,30.00000,7.43000
22.57500,114.12500,Shenzhen,3,0.07010,154051.00000,0.51690,363670.00000,0.52050,558876.00000,0.52490,969396.00000,-7.77900,0.44400,-7.14100,0.13500,-7.41900,0.48100,-7.34700,0.69900,-6.51700,0.43300,-7.00600,0.36000,-6.52600,0.28300,-6.77600,0.32500,-7.29300,0.49800,-6.93900,0.65500,-6.46200,0.74700,-6.37900,0.52600,-6.13500,0.64000,-5.83800,0.46600,-5.47200,0.67200,-5.44600,0.57100,-5.40300,0.64700,-5.24100,0.57000,-5.04900,0.57000,-4.36000,0.59100,-4.05900,0.63100,-3.83300,0.60800,-3.63200,0.52300,-3.79300,0.61000,-3.59900,0.61900,-3.05500,0.64900,-3.18600,0.57400,-3.12900,0.51100,-2.73700,0.59000,-2.44200,0.53400,-2.03400,0.60800,-1.93100,0.51900,-1.92400,0.47400,0,0.17150,22.97490,44.66300,28470958,14.76000,6.35000
22.57500,114.17500,Shenzhen,2,0.01020,15844.00000,0.15880,27675.00000,0.16000,41537.00000,0.16400,74170.00000,-7.76000,0.41500,-7.11800,0.13200,-7.41300,0.50200,-7.39700,0.77600,-6.57900,0.41200,-7.10600,0.35400,-6.62100,0.31800,-6.85900,0.34700,-7.70800,0.50700,-7.35800,0.63600,-6.90300,0.72300,-6.83200,0.54000,-6.50900,0.64900,-6.23600,0.46300,-5.85200,0.68400,-5.85300,0.59000,-5.75900,0.67600,-5.63000,0.57200,-5.46500,0.60500,-4.57200,0.59400,-4.36300,0.52300,-4.09900,0.58700,-4.06800,0.49700,-4.20100,0.50600,-3.94900,0.54100,-3.45700,0.59100,-3.69500,0.46300,-3.65200,0.48500,-3.35200,0.52600,-3.05300,0.58600,-2.75400,0.66600,-2.85300,0.59900,-2.94000,0.54400,0,0.04450,9.97980,10.36640,28470958,39.71000,8.89000
22.57500,114.22500,Shenzhen,2,0.01960,21263.00000,0.19260,42607.00000,0.23580,59615.00000,0.26340,112932.00000,-7.81300,0.41600,-7.17000,0.13400,-7.46900,0.50100,-7.46600,0.78700,-6.64700,0.41100,-7.17200,0.36600,-6.68000,0.31800,-6.91800,0.35400,-8.44200,0.53500,-8.06200,0.61100,-7.64500,0.71000,-7.57600,0.55400,-7.15800,0.66300,-6.89600,0.48100,-6.47600,0.68700,-6.47500,0.60600,-6.34200,0.70900,-6.25300,0.57500,-6.09100,0.63200,-4.90000,0.59500,-4.77000,0.54000,-4.52400,0.53600,-4.53000,0.47000,-4.65900,0.48900,-4.35100,0.52800,-3.86300,0.60900,-4.19700,0.45800,-4.23400,0.48900,-3.92700,0.48100,-3.61100,0.64400,-3.40300,0.67600,-3.49700,0.66100,-3.60900,0.57000,6,0.04440,8.54840,10.16060,28470958,47.77000,7.81000
22.57500,114.27500,Shenzhen,2,0.01630,22883.00000,0.09650,46539.00000,0.19340,75176.00000,0.21320,127026.00000,-8.23500,0.41600,-7.60400,0.14800,-7.87400,0.48500,-8.06000,0.91300,-7.22900,0.39700,-7.75500,0.43200,-7.21000,0.29600,-7.45400,0.38600,-9.33200,0.52700,-8.98000,0.57500,-8.59800,0.67100,-8.53700,0.56100,-8.06800,0.64600,-7.81900,0.49900,-7.34400,0.65500,-7.34500,0.57500,-7.17300,0.73100,-7.11400,0.55600,-6.93000,0.64900,-5.72000,0.58300,-5.63500,0.51900,-5.40800,0.48100,-5.42800,0.47800,-5.48400,0.47700,-5.18400,0.60200,-4.78200,0.59200,-5.11700,0.54600,-5.11400,0.43300,-4.84600,0.45900,-4.56900,0.63600,-4.32400,0.73000,-4.50600,0.69600,-4.49600,0.64200,61,0.04410,7.10180,13.08840,28470958,13.63000,6.00000
22.57500,114.32500,Shenzhen,0,0.00010,3115.00000,0.00140,3442.00000,0.00220,4581.00000,0.00250,8608.00000,-8.69900,0.43600,-8.14400,0.22200,-8.29300,0.47300,-8.67100,0.95700,-7.83800,0.40100,-8.36500,0.45700,-7.81600,0.25500,-8.10900,0.39400,-10.40300,0.47800,-10.06200,0.53100,-9.74400,0.59800,-9.68500,0.52600,-9.23600,0.61500,-8.96600,0.54400,-8.43900,0.62800,-8.44700,0.54600,-8.24800,0.71400,-8.21500,0.54300,-8.01900,0.65100,-7.45000,0.63000,-7.28700,0.56300,-7.07300,0.67500,-7.23800,0.68700,-7.09200,0.70200,-6.79500,0.64600,-6.52100,0.82800,-6.76900,0.65700,-6.84700,0.64600,-6.54500,0.58300,-6.43100,0.70900,-6.27800,0.88100,-6.42700,0.71900,-6.28100,0.74400,88,0.00650,1.24230,1.25900,28470958,-0.06000,6.09000
22.57500,114.37500,Shenzhen,0,0.00010,0.00000,0.00150,0.00000,0.00210,0.00000,0.00260,0.00000,-8.92500,0.44600,-8.40700,0.25800,-8.49800,0.46700,-8.96900,0.97900,-8.13600,0.40300,-8.66200,0.46900,-8.11100,0.23500,-8.42800,0.39800,-11.04500,0.42500,-10.73200,0.48300,-10.45100,0.59400,-10.36800,0.52600,-9.96800,0.58100,-9.69000,0.58500,-9.14700,0.60700,-9.11200,0.55000,-8.91900,0.71300,-8.86500,0.55800,-8.71000,0.63500,-8.13100,0.62700,-7.96700,0.57800,-7.82300,0.76800,-8.05400,0.79300,-7.78900,0.79400,-7.54100,0.65900,-7.33800,0.96900,-7.52500,0.64900,-7.64400,0.78500,-7.30600,0.61400,-7.31800,0.71700,-7.18300,0.96700,-7.26600,0.72000,-7.17000,0.74900,100,0.00000,0.00000,0.00000,28470958,-9999.00000,9.32000
22.52500,113.87500,Shenzhen,2,0.00230,2568.00000,0.07550,14493.00000,0.13620,37305.00000,0.18820,75727.00000,-9.12500,0.57400,-8.68300,0.20300,-8.67600,0.28200,-8.86800,0.92500,-7.95200,0.56600,-8.32600,0.38700,-7.82500,0.21100,-8.11600,0.28900,-10.63400,0.69500,-10.28400,0.82900,-9.50200,0.86600,-9.47800,0.75700,-9.16700,0.65800,-8.65700,0.77600,-7.92800,0.73500,-7.70800,0.74300,-7.64700,0.61600,-7.06300,0.55100,-6.83000,0.59500,-5.68600,0.58800,-4.96000,0.61100,-4.66900,0.65200,-4.42700,0.46300,-4.42200,0.66900,-4.26400,0.59600,-3.81100,0.54600,-3.84100,0.48800,-3.70600,0.42800,-3.22500,0.58500,-2.72100,0.55800,-2.33500,0.67300,-2.34000,0.45200,-1.99400,0.45200,57,0.04370,4.71250,9.65650,28481040,3.80000,3.55000
22.52500,113.92500,Shenzhen,3,0.05640,102204.00000,0.41390,173516.00000,0.48030,260655.00000,0.51510,464332.00000,-9.08900,0.57000,-8.63300,0.19700,-8.63800,0.28500,-8.81300,0.89600,-7.90000,0.56300,-8.27600,0.38900,-7.77500,0.21200,-8.06500,0.28900,-9.17000,0.61200,-8.81200,0.79000,-8.10300,0.83600,-8.07800,0.72600,-7.78100,0.62400,-7.35700,0.69500,-6.74700,0.68400,-6.53700,0.65500,-6.51600,0.56800,-6.07800,0.51400,-5.89100,0.54600,-4.98000,0.59300,-4.42700,0.59600,-4.19300,0.66700,-3.94000,0.50800,-3.95900,0.66300,-3.83800,0.58000,-3.34200,0.56000,-3.32200,0.45300,-3.19100,0.43200,-2.75000,0.54300,-2.36600,0.48400,-1.88600,0.53200,-1.94300,0.39900,-1.65000,0.41800,18,0.19820,28.39450,61.66440,28481040,9.74000,4.59000
22.52500,113.97500,Shenzhen,2,0.03010,24107.00000,0.16730,50562.00000,0.21200,81608.00000,0.21670,142131.00000,-8.48400,0.53400,-7.91900,0.15500,-8.03100,0.34700,-8.09300,0.77500,-7.21900,0.50500,-7.63200,0.37000,-7.15700,0.22700,-7.42000,0.27800,-7.94700,0.51700,-7.59900,0.71300,-7.00500,0.81100,-6.96300,0.63000,-6.73400,0.59300,-6.35400,0.60400,-5.88100,0.60700,-5.72300,0.57400,-5.73500,0.54100,-5.40800,0.48000,-5.23900,0.51700,-4.74500,0.61200,-4.21400,0.61600,-3.96700,0.65000,-3.65500,0.53100,-3.73100,0.64500,-3.62000,0.56800,-3.03200,0.58300,-3.03900,0.48200,-2.90600,0.45900,-2.46300,0.52800,-2.08100,0.43700,-1.61800,0.48100,-1.52900,0.39400,-1.36500,0.39200,49,0.08680,14.19780,24.15080,28481040,9.61000,5.48000
22.52500,114.02500,Shenzhen,2,0.12610,110194.00000,0.41060,208736.00000,0.41680,320179.00000,0.42410,568913.00000,-8.26700,0.51500,-7.67300,0.14500,-7.82700,0.37900,-7.84800,0.73800,-6.98700,0.48400,-7.41400,0.36300,-6.94400,0.23400,-7.20200,0.28200,-7.21600,0.46400,-6.86100,0.62900,-6.36800,0.75000,-6.32800,0.54100,-6.14200,0.55100,-5.83300,0.52000,-5.42300,0.58800,-5.31300,0.51200,-5.34400,0.52400,-5.09900,0.48400,-4.93200,0.48500,-4.44200,0.60800,-3.99400,0.63700,-3.75300,0.62100,-3.43600,0.51500,-3.56700,0.64200,-3.44300,0.57500,-2.82600,0.60600,-2.88300,0.52000,-2.78100,0.45900,-2.35100,0.54500,-2.02100,0.45000,-1.60000,0.47700,-1.45700,0.43700,-1.39600,0.42300,30,0.13190,21.16120,40.86130,28481040,11.63000,5.43000
22.52500,114.07500,Shenzhen,3,0.21810,117315.00000,0.56570,250239.00000,0.56580,383260.00000,0.57530,659938.00000,-7.83700,0.46900,-7.22600,0.14300,-7.45000,0.46400,-7.41600,0.74300,-6.59100,0.44500,-7.05200,0.34300,-6.59000,0.25500,-6.84300,0.30000,-6.97400,0.43200,-6.61100,0.57800,-6.19300,0.71800,-6.13700,0.47900,-5.96000,0.55000,-5.68900,0.45500,-5.33000,0.59600,-5.26200,0.49000,-5.28300,0.52900,-5.09200,0.48900,-4.92900,0.47100,-4.35400,0.58400,-3.96900,0.62900,-3.73900,0.59700,-3.50600,0.49400,-3.64500,0.62600,-3.48600,0.60600,-2.91600,0.61000,-3.02100,0.55400,-2.94600,0.48200,-2.54400,0.57100,-2.25800,0.49700,-1.86900,0.57500,-1.75200,0.48700,-1.73400,0.45300,0,0.13920,23.20180,41.08780,28481040,14.84000,6.03000
22.52500,114.12500,Shenzhen,3,0.16270,99802.00000,0.32200,171264.00000,0.32420,242648.00000,0.32930,369114.00000,-7.81200,0.44900,-7.19500,0.14300,-7.44000,0.48300,-7.41400,0.75700,-6.59200,0.43400,-7.07800,0.34300,-6.60800,0.27600,-6.85900,0.31400,-7.08700,0.41900,-6.73000,0.55800,-6.35700,0.68200,-6.29000,0.46900,-6.09000,0.56200,-5.82600,0.41300,-5.49900,0.60800,-5.47100,0.50400,-5.46300,0.55900,-5.30600,0.48200,-5.14600,0.49300,-4.56000,0.58100,-4.25400,0.60100,-4.03400,0.58800,-3.94300,0.46900,-4.06800,0.57500,-3.85100,0.61800,-3.35500,0.58200,-3.50800,0.48700,-3.44000,0.48600,-3.08700,0.53000,-2.82900,0.54500,-2.47100,0.68100,-2.52800,0.54500,-2.51300,0.50800,0,0.13230,19.25780,33.13940,28481040,17.83000,6.97000
22.52500,114.17500,Shenzhen,2,0.04910,9151.00000,0.10280,15005.00000,0.10540,20159.00000,0.11000,25762.00000,-7.77800,0.41900,-7.15400,0.14200,-7.42800,0.51000,-7.42800,0.79800,-6.61400,0.41600,-7.13800,0.34100,-6.65900,0.31000,-6.90300,0.33500,-7.55900,0.43100,-7.17000,0.54600,-6.83300,0.66100,-6.78500,0.47400,-6.51500,0.57300,-6.27400,0.40400,-5.93600,0.62400,-5.94300,0.51900,-5.90800,0.59000,-5.77200,0.47300,-5.62400,0.51000,-5.02300,0.59800,-4.86100,0.62500,-4.63200,0.56600,-4.64200,0.47300,-4.76300,0.52100,-4.47000,0.61000,-4.03400,0.59600,-4.30300,0.47300,-4.23400,0.47700,-3.95700,0.50100,-3.69300,0.61600,-3.37100,0.72900,-3.61300,0.62800,-3.59000,0.58000,0,0.05490,7.76940,8.86740,28481040,28.96000,7.89000
22.52500,114.22500,Shenzhen,0,0.01590,2648.00000,0.03080,2737.00000,0.03340,3942.00000,0.03470,5172.00000,-7.90300,0.41400,-7.28100,0.14400,-7.54600,0.51200,-7.59600,0.83800,-6.76700,0.41600,-7.30400,0.34400,-6.81500,0.30700,-7.06600,0.34100,-8.40700,0.44800,-8.00900,0.52200,-7.69900,0.63700,-7.68300,0.48200,-7.32700,0.57700,-7.10600,0.41100,-6.73900,0.63600,-6.76000,0.52100,-6.69900,0.62200,-6.58500,0.46100,-6.43800,0.53300,-6.06700,0.63500,-6.00900,0.65700,-5.76200,0.53600,-5.81600,0.53400,-5.91500,0.53300,-5.58600,0.69200,-5.18500,0.62900,-5.48200,0.64200,-5.45700,0.49400,-5.27100,0.52500,-4.97100,0.70300,-4.64300,0.83200,-4.95300,0.70000,-4.87100,0.68000,8,0.01500,3.39030,2.41770,28481040,51.20000,9.68000
22.52500,114.27500,Shenzhen,0,0.00230,18.00000,0.00460,19.00000,0.00510,24.00000,0.00520,33.00000,-8.31900,0.40000,-7.72400,0.15800,-7.94200,0.52700,-8.16300,0.98800,-7.29200,0.42300,-7.86600,0.34200,-7.35100,0.29000,-7.62900,0.34900,-9.46800,0.47500,-9.10000,0.50000,-8.82100,0.59800,-8.82800,0.47500,-8.42000,0.56300,-8.20100,0.44200,-7.79400,0.63900,-7.82100,0.49100,-7.73000,0.65400,-7.65300,0.46200,-7.47700,0.55400,-8.06500,0.61300,-7.90200,0.60500,-7.62400,0.58700,-7.69700,0.53700,-7.76100,0.63500,-7.44800,0.80100,-7.05700,0.64400,-7.29700,0.68500,-7.40500,0.56600,-7.20200,0.54600,-6.89900,0.70300,-6.60800,0.92200,-6.94700,0.70200,-6.74600,0.76300,26,0.00050,0.69940,0.06040,28481040,26.82000,9.25000
22.52500,114.32500,Shenzhen,0,0.00000,0.00000,0.00000,0.00000,0.00010,5.00000,0.00020,2.00000,-9.13100,0.41800,-8.58500,0.21100,-8.66700,0.50100,-9.19400,1.18900,-8.24100,0.44200,-8.81200,0.37100,-8.28400,0.28000,-8.62200,0.44400,-10.11100,0.48500,-9.75700,0.50300,-9.48200,0.58300,-9.47100,0.47700,-9.04500,0.57400,-8.81000,0.48400,-8.35100,0.63600,-8.37600,0.49300,-8.24600,0.67400,-8.19500,0.48900,-8.00000,0.58500,-8.53200,0.63700,-8.34900,0.60500,-8.06600,0.70400,-8.18800,0.62600,-8.13500,0.73600,-7.83800,0.80300,-7.48700,0.77800,-7.73200,0.69000,-7.87600,0.65600,-7.60700,0.58400,-7.38700,0.70200,-7.15300,0.93100,-7.41300,0.70900,-7.20800,0.81200,51,0.00000,0.00000,0.00000,28481040,16.42000,8.75000
